Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Vitiugin, Fedor; Senarath, Yasas; Purohit, Hemant; ",Efficient detection of multilingual hate speech by using interactive attention network with minimal human feedback,Proceedings of the 13th ACM Web Science Conference 2021,,,130-138,2021,
"Senarath, Yasas; Thayasivam, Uthayasanker; ",DataSEARCH at IEST 2018: multiple word embedding based models for implicit emotion classification of tweets with deep learning,"Proceedings of the 9th Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",,,211-216,2018,
"Senarath, Yasas; Mukhopadhyay, Ayan; Vazirizade, Sayyed Mohsen; Purohit, Hemant; Nannapaneni, Saideep; Dubey, Abhishek; ",Practitioner-centric approach for early incident detection using crowdsourced data for emergency services,2021 IEEE International Conference on Data Mining (ICDM),,,1318-1323,2021,IEEE
"Senarath, Yasas; Chan, Jennifer; Purohit, Hemant; Uzuner, Ozlem; ",Evaluating the relevance of umls knowledge base for public health informatics during disasters,ISCRAM 2021 Conference Proceedings–18th International Conference on Information Systems for Crisis Response and Management,,,,2021,
"Nguyen, Hoang Long; Senarath, Yasas; Purohit, Hemant; Akerkar, Rajendra; ",Towards a Design of Resilience Data Repository for Community Resilience.,ISCRAM,,,271-281,2021,
"Jihan, Nadheesh; Senarath, Yasas; Ranathunga, Surangika; ",Aspect extraction from customer reviews using convolutional neural networks,2018 18th International conference on advances in ICT for emerging regions (ICTer),,,215-220,2018,IEEE
"Jihan, Nadheesh; Senarath, Yasas; Tennekoon, Dulanjaya; Wickramarathne, Mithila; Ranathunga, Surangika; ",Multi-domain aspect extraction using support vector machines,Proceedings of the 29th conference on computational linguistics and speech processing (ROCLING 2017),,,308-322,2017,
"Senarath, Yasas; Purohit, Hemant; ",Evaluating semantic feature representations to efficiently detect hate intent on social media,2020 IEEE 14th International Conference on Semantic Computing (ICSC),,,199-202,2020,IEEE
"Senarath, Yasas; Jihan, Nadheesh; Ranathunga, Surangika; ",A hybrid approach for aspect extraction from customer reviews,The International Journal on Advances in ICT for Emerging Regions,12,1,,2019,
"Senarath, Yasas; Peterson, Steve; Purohit, Hemant; Hughes, Amanda L; Stephens, Keri K; ",Mining risk behaviors from social media for pandemic crisis preparedness and response,"Proceedings of the 2021 international conference on social computing, behavioral-cultural modeling & prediction and behavior representation in modeling and simulation",,,,2021,
"Senarath, Yasas; Nannapaneni, Saideep; Purohit, Hemant; Dubey, Abhishek; ",Emergency incident detection from crowdsourced waze data using bayesian information fusion,2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),,,187-194,2020,IEEE
"Jenarthanan, Rajenthiran; Senarath, Yasas; Thayasivam, Uthayasanker; ",ACTSEA: annotated corpus for Tamil & Sinhala emotion analysis,2019 Moratuwa Engineering Research Conference (MERCon),,,49-53,2019,IEEE
"Hughes, A; Stephens, Keri K; Peterson, Steve; Purohit, Hemant; Harris, Anastazja G; Senarath, Yasas; Jarvis, S Ashley; Montagnolo, Carolyn E; Nader, Karim; ",Human-AI teaming for COVID-19 response: A practice & research collaboration case study,Proceedings of the 19th International ISCRAM Conference,,,,2022,
"Senarath, Yasas; Pandey, Rahul; Peterson, Steve; Purohit, Hemant; ",Citizen-helper system for human-centered AI use in disaster management,International Handbook of Disaster Research,,,477-497,2023,Springer Nature Singapore Singapore
"Senarath, Yasas; Anastasopoulos, Antonios; Thornton, Tonya; Purohit, Hemant; ",PROBER: A System for Real-time Propaganda Behavior Analytics on Social Media and Web Data Streams,2022 IEEE International Conference on Big Data (Big Data),,,4812-4815,2022,IEEE
"Salemi, Hossein; Senarath, Yasas; Purohit, Hemant; ",A Comparative Study of Pre-trained Language Models to Filter Informative Code-mixed Data on Social Media during Disasters,International Conference on Information Systems for Crisis Response and Management,,,,2023,
"Senarath, Yasas; Mukhopadhyay, Ayan; Purohit, Hemant; Dubey, Abhishek; ",Designing a Human-centered AI Tool for Proactive Incident Detection Using Crowdsourced Data Sources to Support Emergency Response,Digital Government: Research and Practice,5,1,1-19,2024,"ACM New York, NY"
"Ara, Zinat; Salemi, Hossein; Hong, Sungsoo Ray; Senarath, Yasas; Peterson, Steve; Hughes, Amanda Lee; Purohit, Hemant; ",Closing the Knowledge Gap in Designing Data Annotation Interfaces for AI-powered Disaster Management Analytic Systems,Proceedings of the 29th International Conference on Intelligent User Interfaces,,,405-418,2024,
"Senarath, Yasas; Purohit, Hemant; Akerkar, Rajendra; ",Violence-Inducing Behavior Prevention in Social-Cyber Space,"International Symposium on AI, Data and Digitalization",,,151-159,2023,Springer Nature Switzerland Cham
"Salemi, Hossein; Senarath, Yasas; Sharika, Tarin Sultana; Gupta, Anuridhi; Purohit, Hemant; ",Summarizing Social Media & News Streams for Crisis-related Events by Integrated Content-Graph Analysis: TREC-2023 CrisisFACTS Track,The Thirty-Second Text REtrieval Conference Proceedings (TREC 2023),,,14-17,2023,
"Senarath, Yasas; Borth, Amanda; Maibach, Edward; Purohit, Hemant; ",EVO-LYZER: Social Media Mining System for Evolving Communication Behavior Analytics to Aid Climate Change Programs,,,,,2022,
"Stephens, Keri; Nader, Karim; Harris, Anastazja; Montagnolo, Caroline; Hughes, Amanda; Stevens, Ashley; Wijesuriya, Yasas Pramuditha Senarath; Purohit, Hemant; ",Online-computer-mediated interviews and observations: Overcoming challenges and establishing best practices in a human-AI teaming context,,,,,2021,
"Senarath, Yasas; ",Affect level opinion mining of Twitter streams,,,,,2019,"University of Moratuwa, Sri Lanka"
"Senarath, Yasas; Purohit, Hemant; ",Lifelong Learning Framework for Multilingual Hate Speech Detection in Social Media Streams,"17th International Conference on Social Computing, Behavioral-Cultural Modeling, & Prediction and Behavior Representation in Modeling and Simulation",,,,2024,
